Name,Link,Dominant_side,Born,Height
Aaron Ramsdale,/aaron-ramsdale/profil/spieler/427568,right,1998-05-14,191
Adrián San Miguel del Castillo,/adrian/profil/spieler/71271,right,1987-03-01,190
Alex McCarthy,/alex-mccarthy/profil/spieler/95976,right,1989-03-12,193
Alisson,/alisson/profil/spieler/105470,right,1992-02-10,191
Alphonse Areola,/alphonse-areola/profil/spieler/120629,right,1993-02-27,195
Angus Gunn,/angus-gunn/profil/spieler/201574,right,1996-01-22,196
Artur Boruc,/artur-boruc/profil/spieler/15220,right,1980-02-20,193
Asmir Begović,/asmir-begovic/profil/spieler/33873,right,1987-06-20,199
Ben Foster,/ben-foster/profil/spieler/13572,left,1983-03-04,193
Ben Hamer,/ben-hamer/profil/spieler/67283,right,1987-11-20,193
Bernd Leno,/bernd-leno/profil/spieler/72476,right,1992-04-03,190
Darren Randolph,/darren-randolph/profil/spieler/51321,right,1987-12-05,187
David Button,/david-button/profil/spieler/61814,right,1989-02-27,191
David de Gea,/david-de-gea/profil/spieler/59377,right,1990-07-11,192
Dean Henderson,/dean-henderson/profil/spieler/258919,right,1997-12-03,188
Ederson,/ederson/profil/spieler/238223,left,1993-08-17,188
Edouard Mendy,/edouard-mendy/profil/spieler/442531,right,1992-01-03,196
Emiliano Martínez,/emiliano-martinez/profil/spieler/111873,right,1992-02-09,195
Fraser Forster,/fraser-forster/profil/spieler/52570,right,1988-03-17,201
Heurelho da Silva Gomes,/heurelho-gomes/profil/spieler/19059,right,1981-02-15,191
Hugo Lloris,/hugo-lloris/profil/spieler/17965,left,1986-12-26,188
Illan Meslier,/illan-meslier/profil/spieler/542586,left,2000-02-03,196
Jack Butland,/jack-butland/profil/spieler/128899,right,1993-10-03,196
Joe Hart,/joe-hart/profil/spieler/40204,right,1987-04-19,196
Jonas Lössl,/jonas-lossl/profil/spieler/48870,right,1989-01-02,195
Jordan Pickford,/jordan-pickford/profil/spieler/130164,left,1994-07-03,185
Julián Speroni,/julian-speroni/profil/spieler/12814,right,1979-05-18,186
Karl Darlow,/karl-darlow/profil/spieler/99397,right,1990-08-10,190
Kasper Schmeichel,/kasper-schmeichel/profil/spieler/16911,right,1986-05-11,189
Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279,right,1994-03-10,186
Loris Karius,/loris-karius/profil/spieler/85864,right,1993-06-22,189
Marcus Bettinelli,/marcus-bettinelli/profil/spieler/116648,right,1992-05-24,194
Marek Rodák,/marek-rodak/profil/spieler/186901,right,1996-12-13,196
Martin Dúbravka,/martin-dubravka/profil/spieler/74960,right,1989-01-15,191
Mathew Ryan,/mathew-ryan/profil/spieler/128969,right,1992-08-04,184
Michael McGovern,/michael-mcgovern/profil/spieler/29391,right,1984-12-07,190
Neil Leonard Dula Etheridge,/neil-etheridge/profil/spieler/61694,right,1990-07-02,188
Nick Pope,/nick-pope/profil/spieler/192080,right,1992-04-19,198
Orestis Karnezis,/orestis-karnezis/profil/spieler/16408,right,1985-11-07,190
Paulo Gazzaniga,/paulo-gazzaniga/profil/spieler/195488,right,1992-02-01,195
Pepe Reina,/pepe-reina/profil/spieler/7825,right,1982-08-31,188
Petr Čech,/petr-cech/profil/spieler/5658,left,1982-05-20,196
Ralf Fährmann,/ralf-fahrmann/profil/spieler/39015,right,1988-09-27,197
Rob Elliot,/rob-elliot/profil/spieler/39037,left,1986-04-30,190
Robert Sánchez,/robert-sanchez/profil/spieler/403151,right,1997-11-18,197
Roberto,/roberto/profil/spieler/37403,right,1986-10-02,192
Robin Olsen,/robin-olsen/profil/spieler/75458,right,1990-08-01,196
Rui Patrício,/rui-patricio/profil/spieler/45026,left,1988-02-15,190
Rúnar Alex Rúnarsson,/runar-alex-runarsson/profil/spieler/205657,right,1995-02-18,186
Sam Johnstone,/sam-johnstone/profil/spieler/110864,right,1993-03-25,193
Scott Carson,/scott-carson/profil/spieler/14555,right,1985-03-09,188
Sergio Rico González,/sergio-rico/profil/spieler/207302,right,1993-01-09,195
Simon Mignolet,/simon-mignolet/profil/spieler/50219,right,1988-06-03,193
Thibaut Courtois,/thibaut-courtois/profil/spieler/108390,left,1992-11-05,200
Tim Krul,/tim-krul/profil/spieler/33027,left,1988-03-04,193
Tom Heaton,/tom-heaton/profil/spieler/34130,right,1986-04-15,188
Vicente Guaita,/vicente-guaita/profil/spieler/64399,right,1987-10-01,190
Wayne Hennessey,/wayne-hennessey/profil/spieler/45494,right,1987-01-24,197
Łukasz Fabiański,/lukasz-fabianski/profil/spieler/29692,right,1985-04-18,190
